"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
4.771948890E-1	4.483704783E1	-5.653470800E-1	9.662152666E0	0.000000000E0	0.000000000E0	4.288000107E0	8.000000000E0
1.063194420E0	4.483704783E1	-5.653470800E-1	9.661847490E0	0.000000000E0	0.000000000E0	4.288000107E0	8.000000000E0
2.063194316E0	4.483711226E1	-5.654355300E-1	7.543550450E0	1.950000048E0	2.838999939E2	3.216000080E0	4.000000000E0
3.063195254E0	4.483712153E1	-5.654755200E-1	6.773011888E0	2.799999952E0	2.893999939E2	3.216000080E0	3.000000000E0
4.063194785E0	4.483714055E1	-5.655201300E-1	7.345730716E0	4.670000076E0	3.093999939E2	3.216000080E0	3.000000000E0
5.063194629E0	4.483717012E1	-5.655717300E-1	8.116502456E0	5.550000191E0	3.120000000E2	3.216000080E0	3.000000000E0
6.063194889E0	4.483721512E1	-5.656190700E-1	9.391853642E0	6.130000114E0	3.170000000E2	3.216000080E0	3.000000000E0
7.063195150E0	4.483727169E1	-5.656779500E-1	1.026900181E1	7.849999905E0	3.222999878E2	3.216000080E0	3.000000000E0
8.063194785E0	4.483732447E1	-5.657432200E-1	1.003347463E1	8.060000420E0	3.188999939E2	3.216000080E0	3.000000000E0
9.063194629E0	4.483738219E1	-5.658168600E-1	9.732572105E0	9.199999809E0	3.192000122E2	3.216000080E0	3.000000000E0
1.006319421E1	4.483744619E1	-5.658888600E-1	8.670989097E0	9.920000076E0	3.200000000E2	3.216000080E0	3.000000000E0
1.106319536E1	4.483750675E1	-5.659598900E-1	8.359651267E0	9.000000000E0	3.193999939E2	3.216000080E0	3.000000000E0
1.206319463E1	4.483757168E1	-5.660375400E-1	8.307585443E0	9.489999771E0	3.205000000E2	3.216000080E0	3.000000000E0
1.306319458E1	4.483763839E1	-5.661215500E-1	8.192343321E0	9.789999962E0	3.183999939E2	3.216000080E0	3.000000000E0
1.406319473E1	4.483770654E1	-5.662027700E-1	8.043777968E0	1.010999966E1	3.186000061E2	3.216000080E0	3.000000000E0
1.506319504E1	4.483778739E1	-5.662720100E-1	7.395281486E0	1.022000027E1	3.256000061E2	3.216000080E0	3.000000000E0
1.606319463E1	4.483786420E1	-5.663630200E-1	7.353336469E0	1.114000034E1	3.172000122E2	3.216000080E0	3.000000000E0
1.706319400E1	4.483794235E1	-5.664605100E-1	7.111374287E0	1.222000027E1	3.195000000E2	3.216000080E0	3.000000000E0
1.806319411E1	4.483801903E1	-5.665560500E-1	6.656889286E0	1.093000031E1	3.201000061E2	3.216000080E0	3.000000000E0
1.906319432E1	4.483809797E1	-5.666412000E-1	6.791828365E0	1.148999977E1	3.177000122E2	3.216000080E0	3.000000000E0
2.006319452E1	4.483816438E1	-5.667358900E-1	6.800235551E0	1.094999981E1	3.172999878E2	3.216000080E0	3.000000000E0
2.106319478E1	4.483824203E1	-5.668259300E-1	6.765676471E0	1.101000023E1	3.213999939E2	3.216000080E0	3.000000000E0
2.206319447E1	4.483832824E1	-5.669223700E-1	6.615328163E0	1.040999985E1	3.197000122E2	3.216000080E0	3.000000000E0
2.306319452E1	4.483840158E1	-5.669962000E-1	6.611787458E0	1.003999996E1	3.212999878E2	3.216000080E0	3.000000000E0
2.406319400E1	4.483847224E1	-5.670748700E-1	6.943021209E0	9.840000153E0	3.220000000E2	3.216000080E0	3.000000000E0
2.506319400E1	4.483853295E1	-5.671501800E-1	7.433743222E0	8.890000343E0	3.236000061E2	3.216000080E0	3.000000000E0
2.606319452E1	4.483859577E1	-5.672313200E-1	8.529380128E0	9.510000229E0	3.191000061E2	3.216000080E0	3.000000000E0
2.706319400E1	4.483866630E1	-5.672936900E-1	8.734527457E0	9.449999809E0	3.245000000E2	3.216000080E0	3.000000000E0
2.806319489E1	4.483873756E1	-5.673680600E-1	8.222075423E0	9.590000153E0	3.265000000E2	3.216000080E0	4.000000000E0
2.906319473E1	4.483881117E1	-5.674390600E-1	7.800568089E0	1.044999981E1	3.317000122E2	3.216000080E0	4.000000000E0
3.006319447E1	4.483888412E1	-5.675129200E-1	8.137542567E0	1.001000023E1	3.273999939E2	3.216000080E0	4.000000000E0
3.106319416E1	4.483896688E1	-5.675717800E-1	7.871866261E0	9.850000381E0	3.283999939E2	3.216000080E0	4.000000000E0
3.206319385E1	4.483903127E1	-5.676379100E-1	8.489792106E0	9.609999657E0	3.287000122E2	3.216000080E0	4.000000000E0
