secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,116,0.00118,4.6368,0,0,18.4,-0.56542433,44.83710511,0,-16.9492,8,0,-255,0,0,0,0,0,0,0,0
2,0,116,0.00289,7.3224,0,0,18.2,-0.56544512,44.83710972,0,-11.6959,8,0,-255,0,0,0,0,0,0,0,0
3,0,116,0.00548,11.2536,0,0,17.2,-0.56547630,44.83711726,0,-38.61,8,0,-255,0,0,0,0,0,0,0,0
4,0,116,0.00908,14.6124,0,0,16,-0.56551552,44.83713386,0,-33.3333,8,0,-255,0,0,0,0,0,0,0,0
5,0,116,0.01368,17.838,0,0,16,-0.56556079,44.83716001,0,0,8,0,-255,0,0,0,0,0,0,0,0
6,0,117,0.0194,22.4064,0,0,15.8,-0.56561099,44.83719714,0,-3.4965,8,0,58,0,0,0,0,0,0,0,0
7,59,118,0.02628,26.0316,0,565,15.8,-0.56566766,44.83724417,0,0,8,0,52,98.5,87,30,20.5,0,0,0,0
8,70,119,0.03407,28.62,0,554,15.6,-0.56573245,44.83729697,0,-2.56739,8,0,52,98.5,87,30,20.5,0,0,0,0
9,79,120,0.04255,31.14,0,537,15.2,-0.56580193,44.83735506,0,-4.71698,8,0,54,96.5,97.5,26.5,30,0,0,0,0
10,79,123,0.05167,33.3216,0,371,14.6,-0.56587754,44.83741700,0,-11.7948,8,0,52,87.5,96.5,22.5,27.5,0,0,0,0
11,76,124,0.06109,33.1884,0,371,14.2,-0.56595633,44.83748062,0,-10.5245,8,0,52,87.5,96.5,22.5,27.5,0,0,0,0
12,73,126,0.07054,33.624,0,97,14,-0.56603453,44.83754499,0,-9.56659,8,0,37,43,96.5,9.5,27.5,0,0,0,0
13,76,129,0.08023,34.902,0,271,13.4,-0.56611466,44.83761096,0,-6.32478,8,0,49,75.5,85,22.5,22,0,0,0,0
14,78,131,0.09022,35.7732,0,324,12.6,-0.56619630,44.83767952,0,-3.79225,8,0,57,79,85,22.5,22,0,0,0,0
15,80,133,0.10051,36.9504,0,296,12,-0.56627979,44.83775060,0,-4.37534,8,0,60,85,73.5,23,23.5,0,0,0,0
16,83,136,0.11122,38.898,0,424,11.6,-0.56636696,44.83782436,0,-4.39917,8,0,60,85,73.5,23,23.5,0,0,0,0
17,88,137,0.12241,40.4748,0,434,11.2,-0.56645731,44.83790189,0,-4.75663,8,0,56,83.5,72,23,21.5,0,0,0,0
18,53,139,0.13376,40.2408,0,75,10.6,-0.56654859,44.83798068,0,-5.02853,8,0,54,83,83,22.5,24.5,0,0,0,0
19,53,141,0.14517,40.644,0,194,10.6,-0.56664180,44.83805905,0,-4.55683,8,0,52,55.5,62,15.5,14,0,0,0,0
20,90,143,0.15661,40.7772,0,194,10,-0.56673685,44.83813667,0,-4.42341,8,0,48,50,62,14,14,0,0,0,0
21,91,144,0.16789,39.7368,0,139,9.4,-0.56682955,44.83821387,0,-4.5307,8,0,48,50,62,14,14,0,0,0,0
22,91,145,0.17884,38.4948,0,0,9.2,-0.56691706,44.83829023,0,-4.5017,8,0,57,53,62,14.5,14,0,0,0,0
23,91,146,0.18939,36.8496,0,0,9,-0.56700147,44.83836374,0,-4.07208,8,0,57,53,62,14.5,14,0,0,0,0
24,0,146,0.19948,35.4384,0,0,9,-0.56708160,44.83843448,0,-3.27128,8,0,-255,0,0,0,0,0,0,0,0
25,0,146,0.20916,33.9264,0,0,9,-0.56715746,44.83850288,0,-2.68819,8,0,-255,0,0,0,0,0,0,0,0
26,11,146,0.21867,33.9948,0,6,9.2,-0.56723340,44.83856918,0,-2.1044,8,0,-255,0,0,0,0,0,0,0,0
27,76,146,0.22827,34.6644,0,361,9.6,-0.56730682,44.83863807,0,-1.33028,8,0,67,32,52,6.5,14,0,0,0,0
28,78,146,0.23806,35.4708,0,404,9.6,-0.56737379,44.83871217,0,-0.801641,8,0,50,80,70.5,22,12.5,0,0,0,0
29,78,146,0.24804,35.9424,0,367,9.8,-0.56743674,44.83879004,0,-0.60124,8,0,54,82.5,91.5,22,27,0,0,0,0
30,80,146,0.25807,35.9748,0,367,10,-0.56750069,44.83886799,0,0.122637,8,0,54,82.5,91.5,22,27,0,0,0,0
31,80,146,0.2681,35.7732,0,307,10,-0.56756674,44.83894510,0,0.654552,8,0,44,64,83,16.5,25,0,0,0,0
32,80,146,0.27811,35.8416,0,323,9.4,-0.56763204,44.83902222,0,0.2378,8,0,53,71.5,70.5,19.5,21,0,0,0,0
33,80,146,0.28817,36.0432,0,344,9,-0.56769650,44.83910034,0,0.0297593,8,0,55,80.5,77.5,23,24,0,0,0,0
34,80,147,0.29818,35.7084,0,344,7.6,-0.56776548,44.83917594,0,-1.36884,8,0,51,77,81,21.5,25,0,0,0,0
35,81,147,0.30823,36.108,0,363,7.4,-0.56784276,44.83924769,0,-1.56785,8,0,51,77,81,21.5,25,0,0,0,0
36,81,148,0.3184,36.378,0,360,7.8,-0.56791912,44.83932154,0,-1.38484,8,0,47,74,78.5,20.5,23.5,0,0,0,0
37,81,149,0.32844,36.2448,0,333,7.8,-0.56798416,44.83939924,0,-1.80151,8,0,50,80,81.5,23,25.5,0,0,0,0
38,81,150,0.33857,36.1764,0,353,7.8,-0.56804334,44.83948004,0,-1.80151,8,0,56,82,80.5,23,24,0,0,0,0
39,81,151,0.34862,35.9424,0,353,7.4,-0.56810277,44.83956000,0,-2.39992,8,0,53,82,80.5,23,24,0,0,0,0
40,80,152,0.35857,35.5716,0,318,7.4,-0.56816353,44.83963845,0,-2.59932,8,0,53,82,80.5,23,24,0,0,0,0
41,85,153,0.36847,35.4384,0,300,7.4,-0.56822623,44.83971557,0,-2.59932,8,0,62,87,82.5,24,23,0,0,0,0
42,84,154,0.37833,35.1684,0,319,7.4,-0.56829035,44.83979168,0,-1.99992,8,0,59,83,75,22.5,17.5,0,0,0,0
43,84,155,0.38813,35.1684,0,346,7.6,-0.56835062,44.83986871,0,-1.39822,8,0,57,80.5,80.5,24.5,22,0,0,0,0
44,84,156,0.39789,34.9668,0,311,8,-0.56840812,44.83994649,0,0.410216,8,0,56,82.5,82,25,24,0,0,0,0
45,84,157,0.40766,34.9668,0,341,8.4,-0.56846696,44.84002377,0,1.01864,8,0,56,82.5,82,25,24,0,0,0,0
46,84,158,0.41739,34.902,0,322,8.4,-0.56852521,44.84010088,0,0.625324,8,0,56,84.5,79,24.5,22.5,0,0,0,0
47,84,159,0.42709,34.9668,0,376,8.8,-0.56858154,44.84017850,0,1.0377,8,0,54,79.5,79,23.5,24.5,0,0,0,0
48,84,160,0.43686,35.2044,0,371,9,-0.56863753,44.84025679,0,1.2424,8,0,51,80.5,83.5,22.5,25.5,0,0,0,0
49,84,161,0.44669,35.4384,0,379,9,-0.56869302,44.84033600,0,1.64041,8,0,51,80.5,83.5,22.5,25.5,0,0,0,0
50,85,161,0.45658,35.64,0,374,9.4,-0.56874775,44.84041596,0,2.04486,8,0,53,80.5,83.5,21,25.5,0,0,0,0
51,85,162,0.4665,35.7408,0,335,9.4,-0.56879997,44.84049718,0,2.04486,8,0,51,84.5,82.5,25,24.5,0,0,0,0
52,85,162,0.47645,35.5716,0,301,9.6,-0.56884800,44.84057999,0,2.24587,8,0,54,84,82.5,23.5,24.5,0,0,0,0
53,85,163,0.48637,35.7084,0,301,9.6,-0.56889494,44.84066272,0,2.04179,8,0,56,80.5,81.5,23.5,23,0,0,0,0
54,85,163,0.49633,35.7084,0,378,9.4,-0.56894037,44.84074629,0,1.43115,8,0,56,80.5,81.5,23.5,23,0,0,0,0
55,85,163,0.50627,35.6076,0,401,9,-0.56898655,44.84082952,0,0.619316,8,0,55,96.5,78,32,22.5,0,0,0,0
56,85,164,0.51615,35.3052,0,371,8.8,-0.56903089,44.84091267,0,0.416887,8,0,49,88,93,29.5,29.5,0,0,0,0
57,85,164,0.52597,34.902,0,361,8.4,-0.56907238,44.84099599,0,-0.402817,8,0,52,85.5,93,25,29.5,0,0,0,0
58,84,164,0.53564,34.4304,0,361,8.4,-0.56911027,44.84107872,0,-0.607525,8,0,49,76,89.5,19.5,28,0,0,0,0
59,83,165,0.5452,33.858,0,369,8,-0.56914765,44.84116052,0,-1.02593,8,0,49,76,89.5,19.5,28,0,0,0,0
60,82,165,0.55476,33.9948,0,369,8,-0.56918504,44.84124233,0,-1.43038,8,0,51,78.5,83,22,24,0,0,0,0
61,81,165,0.56425,33.7248,0,424,7.6,-0.56922091,44.84132381,0,-1.85188,8,0,54,80.5,83.5,19.5,22,0,0,0,0
62,81,165,0.57364,33.6924,0,406,7.6,-0.56925645,44.84140444,0,-2.05289,8,0,57,82,79,23.5,23,0,0,0,0
63,81,166,0.58294,32.85,0,394,7.4,-0.56928948,44.84148474,0,-2.26794,8,0,52,80,81.5,20,21,0,0,0,0
